v1 & 1 & 0 & 4 & 0.8 & subsistence\\
v2 & 1 & 0 & 4 & 0.8 & subsistence\\
v3 & 0 & 0 & 5 & 1 & subsistence\\
v4 & 0 & 0 & 5 & 1 & subsistence\\
v5 & 0 & 0 & 5 & 1 & subsistence\\
v6 & 0 & 0 & 5 & 1 & marriage\\
v7 & 0 & 1 & 4 & 0.8 & marriage\\
v8 & 0 & 0 & 5 & 1 & marriage\\
v9 & 0 & 0 & 5 & 1 & marriage\\
v15 & 0 & 0 & 5 & 1 & marriage\\
v16 & 0 & 1 & 4 & 0.8 & marriage\\
v17 & 0 & 0 & 5 & 1 & descent\\
v18 & 1 & 0 & 4 & 0.8 & descent\\
v19 & 1 & 0 & 4 & 0.8 & descent\\
v20 & 0 & 0 & 5 & 1 & descent\\
v21 & 0 & 0 & 5 & 1 & descent\\
v23 & 0 & 0 & 5 & 1 & marriage\\
v24 & 0 & 0 & 5 & 1 & marriage\\
v25 & 0 & 0 & 5 & 1 & marriage\\
v26 & 0 & 0 & 5 & 1 & marriage\\
v27 & 0 & 0 & 5 & 1 & descent\\
v28 & 0 & 0 & 5 & 1 & subsistence\\
v29 & 0 & 0 & 5 & 1 & subsistence\\
v30 & 0 & 0 & 5 & 1 & settlement_pattern_and_size\\
v31 & 2 & 0 & 3 & 0.6 & settlement_pattern_and_size\\
v32 & 1 & 0 & 4 & 0.8 & political_organization\\
v33 & 0 & 0 & 5 & 1 & political_organization\\
v34 & 0 & 0 & 5 & 1 & belief_and_religion\\
v35 & 2 & 0 & 3 & 0.6 & games\\
v36 & 2 & 0 & 3 & 0.6 & sex_related_taboos_and_traditions\\
v37 & 0 & 0 & 5 & 1 & sex_related_taboos_and_traditions\\
v38 & 1 & 0 & 4 & 0.8 & sex_related_taboos_and_traditions\\
v39 & 0 & 0 & 5 & 1 & subsistence\\
v40 & 0 & 0 & 5 & 1 & subsistence\\
v41 & 0 & 0 & 5 & 1 & subsistence\\
v42 & 0 & 0 & 5 & 1 & subsistence\\
v43 & 0 & 0 & 5 & 1 & descent\\
v44 & 0 & 0 & 5 & 1 & sex_differences\\
v45 & 2 & 0 & 3 & 0.6 & sex_differences\\
v46 & 0 & 1 & 4 & 0.8 & sex_differences\\
v47 & 1 & 0 & 4 & 0.8 & sex_differences\\
v48 & 0 & 1 & 4 & 0.8 & sex_differences\\
v49 & 2 & 0 & 3 & 0.6 & sex_differences\\
v50 & 3 & 0 & 2 & 0.4 & sex_differences\\
v51 & 1 & 0 & 4 & 0.8 & sex_differences\\
v52 & 0 & 1 & 4 & 0.8 & sex_differences\\
v53 & 0 & 0 & 5 & 1 & sex_differences\\
v54 & 0 & 1 & 4 & 0.8 & sex_differences\\
v55 & 0 & 0 & 5 & 1 & age_and_occupational_specialization\\
v56 & 1 & 0 & 4 & 0.8 & age_and_occupational_specialization\\
v57 & 0 & 1 & 4 & 0.8 & age_and_occupational_specialization\\
v58 & 1 & 0 & 4 & 0.8 & age_and_occupational_specialization\\
v59 & 0 & 1 & 4 & 0.8 & age_and_occupational_specialization\\
v61 & 3 & 0 & 2 & 0.4 & age_and_occupational_specialization\\
v62 & 0 & 0 & 5 & 1 & age_and_occupational_specialization\\
v63 & 1 & 0 & 4 & 0.8 & age_and_occupational_specialization\\
v64 & 0 & 0 & 5 & 1 & age_and_occupational_specialization\\
v65 & 2 & 1 & 2 & 0.4 & age_and_occupational_specialization\\
v66 & 1 & 0 & 4 & 0.8 & class_stratification_and_slavery\\
v68 & 0 & 0 & 5 & 1 & class_stratification_and_slavery\\
v70 & 0 & 0 & 5 & 1 & class_stratification_and_slavery\\
v71 & 0 & 0 & 5 & 1 & class_stratification_and_slavery\\
v72 & 0 & 0 & 5 & 1 & political_organization\\
v73 & 0 & 0 & 5 & 1 & political_organization\\
v74 & 0 & 0 & 5 & 1 & inheritance_of_property\\
v75 & 0 & 0 & 5 & 1 & inheritance_of_property\\
v76 & 0 & 0 & 5 & 1 & inheritance_of_property\\
v77 & 0 & 1 & 4 & 0.8 & inheritance_of_property\\
v78 & 2 & 0 & 3 & 0.6 & sex_related_taboos_and_traditions\\
v79 & 0 & 0 & 5 & 1 & housing\\
v80 & 0 & 0 & 5 & 1 & housing\\
v81 & 0 & 0 & 5 & 1 & housing\\
v82 & 0 & 0 & 5 & 1 & housing\\
v83 & 0 & 1 & 4 & 0.8 & housing\\
v84 & 2 & 0 & 3 & 0.6 & housing\\
v85 & 1 & 0 & 4 & 0.8 & housing\\
v86 & 2 & 0 & 3 & 0.6 & housing\\
v87 & 2 & 1 & 2 & 0.4 & housing\\
v88 & 1 & 0 & 4 & 0.8 & housing\\
v90 & 2 & 0 & 3 & 0.6 & political_organization\\
v94 & 2 & 0 & 3 & 0.6 & political_organization\\
v112 & 1 & 0 & 4 & 0.8 & belief_and_religion\\
